files,Classes ,Methods ,Added ,Lines ,Removed ,Modified ,Chunks ,Failingtests ,RelevantTestCount,StatementCoverage,RepairActions ,RepairPatterns ,correct
1,1,1,2,4,2,0,4,1,31,97.1,0,3,0
1,1,1,3,3,0,0,1,1,12,100,4,2,1
1,1,1,2,2,0,0,2,1,6,98.2,1,1,1
1,1,1,0,1,0,1,1,11,11,7.9,3,2,1
1,1,1,0,2,1,1,1,1,256,98.6,1,1,1
1,1,1,0,1,0,1,1,1,186,99.5,2,3,1
1,1,1,0,1,0,1,1,1,142,93.3,2,3,1
1,1,2,0,2,0,2,2,1,185,99.5,2,2,1
1,1,1,0,1,0,1,1,2,184,99.5,2,4,0
1,1,1,8,8,0,0,4,1,47,99.2,2,3,0
1,1,2,2,22,19,1,4,1,16,93.8,8,4,0
1,1,2,3,6,3,0,3,1,166,97.6,6,3,1
2,2,2,6,6,0,0,2,2,313,95.8,2,3,0
1,1,1,1,1,0,0,1,1,369,100,2,2,1
1,1,1,10,10,0,0,2,1,20,97.2,3,4,0
1,1,1,0,1,0,1,1,1,9,100,2,2,0
1,1,1,0,1,0,1,1,1,10,82.5,2,2,1
1,1,1,1,2,0,1,2,1,3042,97.8,3,2,1
1,1,2,19,21,0,2,11,2,3040,97.8,5,2,0
1,1,3,2,6,0,4,5,1,26,89.9,5,3,0
1,1,1,0,1,0,1,1,1,16,97,1,2,0
1,1,1,1,2,0,1,1,1,24,89.7,4,3,0
2,2,2,0,2,0,2,2,2,98,97.6,1,1,1
1,1,1,3,3,0,0,2,1,7,98.9,3,1,1
1,1,1,4,4,0,0,4,1,26,100,2,1,0
1,1,2,12,16,1,3,2,3,78,94.4,10,3,0
1,1,1,3,3,0,0,2,1,2197,85.7,2,1,1
1,1,1,0,1,0,1,1,1,3,91.2,1,1,1
1,1,1,1,34,21,12,4,2,317,85.7,11,6,0
1,1,1,0,1,0,1,1,1,23,72.8,2,3,1
1,1,1,0,1,0,1,1,1,28,96.3,2,3,1
1,1,1,0,1,0,1,1,1,24,82.6,2,3,1
1,1,2,0,2,0,2,2,4,12,100,3,3,1
1,1,1,9,9,0,0,1,1,69,100,3,2,1
2,2,2,6,6,0,0,2,2,52,100,2,3,1
1,1,1,6,8,0,2,2,1,90,99.2,3,3,0
1,1,1,0,1,0,1,1,1,236,91.1,4,3,1
1,1,1,2,3,0,1,2,1,27,96.3,1,3,0
1,1,1,6,7,1,0,3,1,164,96.5,5,2,0
1,1,1,0,2,0,2,2,2,199,93.9,2,2,1
1,1,4,0,4,0,4,4,1,35,84.9,2,2,0
1,1,1,0,1,0,1,1,1,257,95.6,1,3,1
1,1,1,0,4,4,0,1,1,36,96,3,1,1
1,1,1,9,9,0,0,3,1,36,97.2,7,1,0
1,1,1,3,3,0,0,1,1,179,96.1,2,1,1
1,1,1,0,7,6,1,1,1,5,86.7,4,3,0
1,1,1,0,1,0,1,1,1,4,96.7,1,1,1
1,1,1,0,1,0,1,1,1,8,65.2,4,2,1
1,1,1,0,1,0,1,1,1,1727,87,2,2,1
7,7,7,2,18,4,12,17,28,230,93.1,8,6,0
1,1,1,2,12,9,1,2,1,26,82.6,8,4,0
1,1,1,0,2,0,2,2,1,12,87.5,2,2,1
1,1,1,0,4,1,3,2,1,2,66.7,13,3,0
1,1,1,0,1,0,1,1,1,907,91.2,3,2,1
1,1,1,0,7,5,2,2,1,77,94.5,7,3,1
1,1,1,10,12,0,2,9,2,44,98.2,9,3,0
1,1,1,0,1,0,1,1,2,17,98.6,2,3,0
1,1,1,5,14,6,3,4,1,169,96.9,6,4,0
1,1,1,0,1,0,1,1,1,16,91.3,3,2,1
2,2,2,7,7,0,0,2,2,116,100,2,1,1
1,1,1,0,2,0,2,2,1,214,93.1,2,2,0
1,1,1,4,4,0,0,1,1,214,92,3,1,1
1,1,1,3,7,0,4,3,1,56,99.2,5,3,0
1,1,1,0,1,0,1,1,1,8,87,2,2,1
2,2,2,0,10,9,1,2,2,346,59.8,8,3,1
1,1,1,11,11,0,0,3,1,118,84.1,6,3,0
1,1,1,0,2,0,2,2,1,866,99.5,1,1,1
1,1,1,0,2,0,2,2,1,22,86.8,3,1,0
1,1,1,0,1,0,1,1,1,36,93,1,2,1
1,1,3,1,4,0,3,3,1,35,89.3,4,4,0
1,1,1,0,1,0,1,1,1,14,96.7,1,2,1
1,1,1,9,9,0,0,3,2,5,100,6,2,0
1,1,1,0,1,0,1,1,1,92,93.9,1,2,1
1,1,1,3,6,3,0,2,2,12,97.3,6,1,1
1,1,1,0,4,2,2,3,1,16,92.4,2,2,0
1,1,1,5,11,6,0,4,1,15,92.4,8,4,0
1,1,1,4,4,0,0,2,1,7,99.1,3,1,1
1,1,2,3,3,0,0,2,1,7,99.1,2,1,1
1,1,1,0,2,0,2,1,1,62,96.6,3,3,1
1,1,2,8,10,0,2,3,1,546,92.8,7,5,1
1,1,1,0,1,0,1,1,1,546,92.8,1,2,1
1,1,1,2,3,0,1,3,1,23,100,2,2,0
1,1,1,0,1,0,1,1,1,171,97.7,2,3,0
1,1,1,14,16,0,2,5,1,129,93,4,3,0
2,2,2,0,2,0,2,2,2,133,86,1,3,1
1,1,2,8,8,0,0,2,2,560,98.9,3,1,1
1,1,1,1,5,0,4,1,1,8,81.3,5,2,0
1,1,1,5,5,0,0,2,8,3877,74.5,5,2,0
1,1,1,3,3,0,0,1,1,3640,88.4,3,1,1
1,1,1,12,12,0,0,2,1,2546,81.6,5,3,0
1,1,1,0,1,0,1,1,1,3853,93.5,1,2,1
1,1,1,0,1,0,1,1,1,770,100,4,3,1
1,1,1,1,2,1,0,2,2,2703,95.2,4,3,1
1,1,2,6,9,0,3,5,1,3950,94,5,2,0
